Gene	s1_p16_neg_PBS	s2_p16_neg_PBS	s3_p16_neg_PBS	s4_p16_neg_PBS	s1_p16_pos_PBS	s2_p16_pos_PBS	s3_p16_pos_PBS	s4_p16_pos_PBS	s1_p16_neg_LPS	s2_p16_neg_LPS	s3_p16_neg_LPS	s4_p16_neg_LPS	s1_p16_pos_LPS	s2_p16_pos_LPS	s3_p16_pos_LPS	s4_p16_pos_LPS
Ska3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Skap1	0	1	0	1	0	2	0	0	0	1	0	1	0	0	1	0
Skap2	0	2	9	2	2	2	5	10	1	1	2	20	1	3	7	96
Ski	0	5	6	51	2	5	5	29	8	22	17	54	15	10	7	127
Skida1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skil	0	1	0	0	0	2	2	3	1	0	3	4	1	1	1	4
Skint1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Skint4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skint9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skiv2l	3	16	21	45	2	20	41	115	12	13	14	92	26	45	29	215
Skor1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skor2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skp1a	0	1	0	0	1	0	1	4	4	0	2	5	2	1	1	3
Skp2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	3
Sla	0	5	6	5	1	5	5	9	5	3	5	7	3	2	2	18
Sla2	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1
Slain1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slain1os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slain2	0	1	2	1	0	1	1	1	2	1	0	1	1	1	2	11
Slamf1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Slamf6	0	0	1	0	0	2	0	1	0	2	1	1	0	0	0	1
Slamf7	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	15
Slamf8	0	0	0	0	1	0	1	0	0	0	0	4	0	0	1	15
Slamf9	3	5	17	30	0	6	19	44	13	34	18	110	75	31	15	371
Slbp	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1
Slc10a1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Slc10a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc10a3	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	2
Slc10a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc10a4l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc10a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc10a6	0	0	0	0	0	3	0	2	1	0	2	0	0	1	0	4
Slc10a7	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	4
Slc11a1	0	1	1	3	0	1	3	8	0	1	1	9	0	1	0	42
Slc11a2	0	1	4	12	1	7	1	11	5	12	5	15	15	72	5	70
Slc12a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc12a2	3	0	0	0	4	2	0	2	0	0	0	1	1	2	0	1
Slc12a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc12a4	0	11	20	24	0	13	38	68	17	25	27	46	29	16	26	118
Slc12a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc12a6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3
Slc12a7	2	12	28	36	1	10	53	116	15	18	24	73	33	78	24	246
Slc12a8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Slc12a9	0	6	7	18	0	11	23	51	7	4	15	29	22	11	12	92
Slc13a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc13a2	0	0	1	2	0	0	4	1	0	1	2	1	1	3	0	5
Slc13a2os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc13a3	0	0	0	2	0	0	2	4	0	1	3	2	1	2	0	4
Slc13a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc13a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc14a1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Slc14a2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Slc15a1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc15a2	0	2	0	0	0	0	0	1	1	0	0	1	0	3	0	2
Slc15a3	1	21	41	112	0	15	45	133	28	49	40	147	36	26	23	545
Slc15a4	0	9	12	38	0	12	17	37	7	31	35	39	52	45	4	127
Slc15a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a10	0	0	2	0	0	2	2	7	3	2	2	14	1	5	1	29
Slc16a11	2	2	0	1	1	27	15	13	3	0	1	1	3	100	0	9
Slc16a12	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
Slc16a13	0	0	0	0	0	3	0	1	1	0	0	1	0	2	0	2
Slc16a14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1
Slc16a3	1	17	32	74	0	29	34	120	21	55	61	144	39	133	39	335
Slc16a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a6	0	1	2	2	0	4	5	9	8	8	3	2	1	2	0	6
Slc16a7	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1
Slc16a8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Slc16a9	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Slc17a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a5	0	4	3	11	0	5	5	16	3	6	5	12	6	13	2	85
Slc17a6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc17a9	0	2	6	17	0	3	12	20	3	5	5	20	3	7	5	73
Slc18a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Slc18a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc18a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc18b1	0	0	0	0	0	0	1	2	0	0	0	0	1	4	0	4
Slc19a1	0	0	1	3	0	0	0	3	0	0	1	3	1	0	1	8
Slc19a2	0	0	0	0	0	0	1	1	0	1	0	2	0	1	0	7
Slc19a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc1a1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Slc1a2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
Slc1a3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Slc1a4	1	1	0	0	1	1	3	11	0	0	1	0	0	39	1	9
Slc1a5	2	2	3	2	1	10	12	55	5	0	4	31	7	52	3	122
Slc1a6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc1a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc20a1	1	0	1	1	2	2	2	4	1	0	1	1	1	1	0	9
Slc20a2	1	1	3	3	0	4	7	27	2	5	2	13	3	26	2	38
Slc22a1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Slc22a12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
